STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
GA,0.005899,0.121274,0.012408,0.006026,0.002296,0.00798,0.006525,0.015987,0.00942,0.06502,0.983741,0.00425,0.013131,0.005439,0.009911,0.016499,0.009968,0.023715,0.012574,0.005196,0.012365,0.005962,0.008399,0.008054,0.010938,0.033386,0.009199,0.036671,0.006994,0.009251,0.005035,0.00671,0.011905,0.00755,0.0051,0.012214,0.008921,0.002816,0.009064,0.004765,0.124977,0.005834,0.094575,0.006785,0.007903,0.018612,0.004646,0.002535,0.009323,0.013267,0.019671
HI,0.016103,0.000158,0.000135,0.003298,0.001826,0.002312,0.000203,0.000492,8.6e-05,0.000352,0.000179,0.985881,0.000866,0.001691,0.000306,0.000163,0.000882,0.000176,0.000136,0.000184,0.000156,0.000122,0.00024,0.001158,0.000424,0.000232,0.002532,0.000165,0.00169,0.000773,0.000264,0.000205,0.000429,0.003218,0.000126,0.000167,0.000688,0.002497,0.000133,0.00028,8.3e-05,0.000664,0.000389,0.000987,0.003494,0.000138,0.000357,0.002811,0.000541,4.7e-05,0.001674
IA,0.001116,0.001575,0.005406,0.004381,0.001205,0.007992,0.00091,0.000861,0.001285,0.001944,0.00175,0.000756,0.984057,0.00795,0.043972,0.008311,0.020895,0.004679,0.001398,0.000724,0.001658,0.00107,0.002671,0.04206,0.023714,0.0024,0.012729,0.001225,0.016971,0.211657,0.000945,0.001184,0.010303,0.006446,0.000922,0.003608,0.006028,0.003496,0.002427,0.000526,0.001611,0.15004,0.003383,0.00199,0.007123,0.001748,0.001072,0.002139,0.029084,0.002157,0.044051
ID,0.003508,0.000443,0.001133,0.005057,0.002696,0.004636,0.000281,0.000676,0.000257,0.000794,0.000539,0.006351,0.002287,0.98009,0.001238,0.001255,0.001726,0.000845,0.000535,0.000239,0.000395,0.000367,0.000391,0.00155,0.001456,0.000726,0.082365,0.000371,0.008883,0.005434,0.00033,0.000397,0.006148,0.015956,0.000249,0.000724,0.001358,0.035206,0.000645,0.000175,0.000496,0.006152,0.000904,0.000906,0.057793,0.000589,0.000429,0.064826,0.000928,0.000606,0.077953
IL,0.003827,0.007521,0.018136,0.014784,0.003768,0.016024,0.004473,0.008178,0.005652,0.017244,0.007391,0.01308,0.147363,0.009728,0.986315,0.121181,0.025782,0.03834,0.005024,0.003957,0.006745,0.002996,0.022085,0.022025,0.112003,0.009312,0.019432,0.005633,0.017667,0.027099,0.003935,0.005083,0.022189,0.014937,0.003929,0.01755,0.014076,0.005391,0.009826,0.003363,0.007803,0.022123,0.020023,0.006391,0.011224,0.007391,0.006146,0.004043,0.134217,0.010061,0.051167
IN,0.002392,0.008426,0.012397,0.007302,0.001879,0.007045,0.00396,0.006149,0.005195,0.01822,0.007004,0.003825,0.02095,0.006154,0.102003,0.982854,0.010045,0.155712,0.003688,0.002976,0.006361,0.003272,0.056272,0.008995,0.019867,0.005848,0.011089,0.005914,0.009148,0.012535,0.00343,0.004868,0.016171,0.008578,0.003649,0.063684,0.008723,0.0031,0.010682,0.002382,0.009189,0.009791,0.02403,0.003882,0.006728,0.007288,0.004002,0.002175,0.025104,0.015226,0.031286
KS,0.001355,0.001762,0.013282,0.00491,0.0011,0.023385,0.000678,0.001168,0.001085,0.001636,0.001595,0.001228,0.025122,0.004637,0.005312,0.004514,0.981642,0.003594,0.001945,0.000497,0.001196,0.000489,0.001111,0.005966,0.173327,0.002798,0.007202,0.001127,0.006961,0.058687,0.000572,0.000767,0.014867,0.004534,0.00058,0.002169,0.050752,0.002007,0.001678,0.00035,0.001346,0.016174,0.003196,0.004968,0.005362,0.001436,0.001215,0.001378,0.00353,0.001865,0.029873
KY,0.002392,0.013863,0.012222,0.003592,0.000993,0.004561,0.002072,0.002644,0.003682,0.01573,0.010736,0.001558,0.018712,0.003766,0.027813,0.114716,0.010296,0.969891,0.004042,0.001589,0.004508,0.001896,0.013444,0.005917,0.020593,0.009811,0.005919,0.007272,0.004276,0.007854,0.001913,0.002563,0.00898,0.004592,0.001989,0.089072,0.005159,0.002032,0.006264,0.001857,0.011252,0.005603,0.089354,0.003113,0.003773,0.011009,0.002501,0.001378,0.011768,0.070523,0.019044
LA,0.001435,0.017681,0.04474,0.00397,0.00121,0.004045,0.001113,0.001845,0.001827,0.007055,0.006388,0.000614,0.003178,0.002092,0.003243,0.003243,0.004971,0.004338,0.986666,0.000883,0.00212,0.001009,0.001296,0.001501,0.005503,0.123424,0.002282,0.002841,0.001591,0.002782,0.000835,0.001488,0.014048,0.00366,0.000791,0.002048,0.013566,0.0013,0.001966,0.000631,0.003891,0.002311,0.008086,0.037154,0.00257,0.003097,0.001072,0.001027,0.001512,0.002227,0.009783
MA,0.001036,0.000529,0.000722,0.000927,0.00049,0.001394,0.122693,0.004919,0.005395,0.002954,0.001148,0.001157,0.000927,0.000715,0.001341,0.001779,0.000534,0.001183,0.000514,0.989349,0.004007,0.075552,0.000766,0.000789,0.000794,0.000539,0.001355,0.001566,0.000597,0.001065,0.401152,0.008016,0.001639,0.000922,0.012244,0.002,0.000571,0.000448,0.005193,0.533772,0.001705,0.000838,0.001113,0.000589,0.00102,0.003122,0.093553,0.000416,0.000799,0.001586,0.003453
MD,0.000717,0.001771,0.002356,0.001998,0.00083,0.00276,0.011201,0.753428,0.39368,0.005414,0.003753,0.001299,0.002312,0.001935,0.002926,0.004799,0.002917,0.004421,0.001521,0.007577,0.980762,0.008286,0.001814,0.001278,0.002504,0.001886,0.002211,0.008793,0.000961,0.002159,0.00875,0.020296,0.003857,0.002507,0.00985,0.006113,0.001648,0.00112,0.068916,0.010895,0.007144,0.001242,0.004028,0.00164,0.002175,0.100788,0.007719,0.000787,0.001904,0.114627,0.006906
ME,0.000159,0.000132,0.000158,0.00013,4.9e-05,0.000212,0.006041,0.000676,0.001028,0.000607,0.000197,7.1e-05,0.000189,0.000139,0.000227,0.000372,0.000135,0.000249,0.000119,0.023277,0.000868,0.989054,0.000124,0.000125,0.0002,0.000116,0.000321,0.000341,0.000166,0.000291,0.128287,0.001019,0.000205,0.000183,0.001034,0.000412,0.000147,9.5e-05,0.001106,0.009844,0.000318,5.8e-05,0.000259,0.000129,0.000144,0.000727,0.016295,4.5e-05,0.000182,0.000338,0.000889
MI,0.00279,0.001964,0.003501,0.003743,0.000929,0.002966,0.001956,0.001783,0.001741,0.006479,0.002909,0.00288,0.005648,0.001709,0.014147,0.056477,0.002466,0.010315,0.001336,0.001331,0.002666,0.002201,0.994123,0.004802,0.004035,0.001724,0.004279,0.002244,0.003812,0.004048,0.001011,0.001773,0.004024,0.004765,0.001952,0.037613,0.002158,0.001214,0.004439,0.001051,0.002834,0.003321,0.005369,0.001637,0.002522,0.002903,0.003145,0.001152,0.020517,0.005514,0.008371
MN,0.005261,0.000977,0.002092,0.005938,0.001016,0.003919,0.000852,0.001845,0.000828,0.003997,0.001589,0.004746,0.060837,0.00537,0.006074,0.004341,0.004894,0.002679,0.000868,0.000822,0.001235,0.000948,0.002467,0.990739,0.004184,0.001306,0.021037,0.00097,0.324505,0.012374,0.000748,0.000814,0.004266,0.005408,0.000671,0.002322,0.002755,0.002351,0.001558,0.000385,0.001314,0.10461,0.00203,0.001292,0.00385,0.001194,0.001144,0.002385,0.086611,0.001481,0.019305
MO,0.002392,0.006949,0.126185,0.009912,0.002396,0.015272,0.001965,0.002829,0.002655,0.007512,0.004732,0.0034,0.084026,0.008926,0.095639,0.019682,0.370161,0.019087,0.006587,0.001571,0.003534,0.001529,0.004956,0.011943,0.980538,0.014268,0.012765,0.003257,0.00948,0.051968,0.001627,0.002312,0.025449,0.009395,0.001749,0.007378,0.063103,0.003875,0.00487,0.001156,0.003873,0.019437,0.018228,0.008413,0.009183,0.004066,0.002644,0.002701,0.011112,0.005853,0.04447
MS,0.000877,0.083575,0.052029,0.003303,0.001013,0.00323,0.001152,0.002029,0.001513,0.011049,0.010184,0.000543,0.008051,0.002127,0.00476,0.004567,0.008731,0.007502,0.112911,0.000896,0.002037,0.00107,0.001425,0.001887,0.013415,0.978321,0.002852,0.003362,0.001657,0.003797,0.000682,0.00129,0.011812,0.003314,0.000748,0.002644,0.014638,0.001292,0.002228,0.000561,0.005125,0.002282,0.080346,0.01217,0.002512,0.00365,0.001072,0.000812,0.002215,0.002915,0.011196
MT,0.00295,0.000379,0.000603,0.002019,0.000727,0.002714,0.000349,0.000246,0.000171,0.000664,0.00046,0.001417,0.001885,0.029673,0.000938,0.000929,0.00103,0.000596,0.000317,0.000202,0.000378,0.000275,0.000402,0.003073,0.000922,0.00063,0.980853,0.000322,0.054294,0.003053,0.000352,0.000314,0.002385,0.002959,0.000209,0.000592,0.000856,0.004857,0.00049,0.000175,0.000333,0.01187,0.000833,0.000629,0.006411,0.000464,0.000429,0.008332,0.001292,0.000385,0.078006
NC,0.001674,0.010289,0.006404,0.004398,0.001629,0.004986,0.009914,0.028285,0.019611,0.020287,0.03179,0.002573,0.008075,0.002737,0.005841,0.010156,0.00528,0.015003,0.005029,0.007184,0.02483,0.009081,0.005461,0.003785,0.006417,0.010229,0.005776,0.9859,0.003116,0.004691,0.008399,0.010044,0.00626,0.004227,0.007318,0.01232,0.005051,0.001964,0.013859,0.007812,0.215579,0.006527,0.040252,0.003984,0.003379,0.098596,0.00922,0.001623,0.004922,0.032854,0.011248
ND,0.001355,0.000158,0.000457,0.001255,0.000197,0.00132,0.000203,6.1e-05,0.000143,0.000346,0.000232,0.00026,0.002745,0.003801,0.001005,0.000953,0.00105,0.00054,0.000201,0.000141,0.000139,0.000183,0.000447,0.052969,0.000812,0.000166,0.041717,0.000139,0.985018,0.003164,0.000198,0.000165,0.001453,0.001383,0.000154,0.000547,0.000757,0.001257,0.00037,0.000105,0.00021,0.037488,0.000389,0.000273,0.001425,0.000212,0.000143,0.001223,0.002559,0.000361,0.011719
NE,0.001116,0.000816,0.003383,0.003672,0.001268,0.015467,0.000658,0.000553,0.000828,0.000869,0.001028,0.000614,0.117021,0.009484,0.004473,0.003784,0.032492,0.002356,0.000789,0.000503,0.000963,0.000612,0.00118,0.00738,0.010741,0.001215,0.009556,0.000749,0.013358,0.98404,0.000616,0.000804,0.009725,0.006033,0.000533,0.001835,0.004939,0.003841,0.001548,0.00035,0.000934,0.10666,0.001753,0.001527,0.009087,0.001088,0.000786,0.001959,0.003578,0.001352,0.084964
NH,0.000319,0.000184,0.000231,0.00021,0.000113,0.000333,0.014755,0.000984,0.001627,0.000888,0.000299,0.000212,0.000256,0.000157,0.000399,0.000607,0.0002,0.000485,0.000148,0.167077,0.001213,0.156974,0.000201,0.000277,0.000307,0.000166,0.000499,0.000463,0.000232,0.000362,0.979663,0.001783,0.000484,0.00025,0.00208,0.000662,0.000182,0.000181,0.001573,0.039062,0.00046,0.000375,0.000407,0.000169,0.000308,0.000914,0.262078,9e-05,0.000301,0.000501,0.001151
NJ,0.000399,0.001449,0.002424,0.00227,0.001141,0.003161,0.041669,0.026563,0.121578,0.007537,0.003103,0.001747,0.001952,0.001953,0.003111,0.004567,0.001539,0.003234,0.001308,0.015375,0.026255,0.011282,0.001629,0.001262,0.001958,0.001623,0.00328,0.005339,0.001293,0.002621,0.011411,0.987443,0.00531,0.003295,0.131295,0.005461,0.001717,0.001154,0.113752,0.018743,0.005621,0.001733,0.003262,0.001534,0.002657,0.013021,0.021012,0.000757,0.001961,0.006762,0.010254
NM,0.001116,0.001797,0.006568,0.0293,0.004651,0.026999,0.001046,0.001353,0.001113,0.001263,0.001537,0.00111,0.004879,0.007566,0.002842,0.00305,0.008867,0.002153,0.003347,0.000607,0.001163,0.000948,0.000899,0.002262,0.005088,0.00369,0.005955,0.001039,0.003248,0.007874,0.000616,0.001038,0.968328,0.013189,0.000655,0.001883,0.019443,0.004151,0.001685,0.000385,0.001241,0.004534,0.002934,0.02456,0.011926,0.001722,0.001286,0.001964,0.001617,0.001457,0.033745
NV,0.008769,0.001337,0.002266,0.044407,0.032596,0.011876,0.000784,0.00166,0.001399,0.002374,0.002031,0.011451,0.005855,0.034363,0.003482,0.003054,0.004971,0.001797,0.001756,0.000773,0.001692,0.000673,0.002134,0.005699,0.003489,0.001886,0.016152,0.001165,0.008287,0.008919,0.000835,0.001227,0.020736,0.960894,0.000894,0.002113,0.005029,0.013564,0.001338,0.00042,0.001252,0.00595,0.002453,0.005249,0.078151,0.001297,0.000929,0.008713,0.00364,0.001212,0.041802
NY,0.001036,0.001391,0.002334,0.002182,0.001371,0.003672,0.160287,0.020783,0.025692,0.009383,0.003383,0.002408,0.002379,0.002005,0.003812,0.005433,0.001552,0.003515,0.001299,0.030694,0.01586,0.016297,0.002442,0.00205,0.002265,0.001487,0.003316,0.005169,0.001657,0.00224,0.019941,0.17861,0.004285,0.003285,0.993436,0.007932,0.001764,0.000947,0.051217,0.029638,0.005642,0.002166,0.003029,0.001702,0.002974,0.01013,0.150586,0.000902,0.002344,0.006645,0.009103
OH,0.002312,0.005046,0.009189,0.005493,0.001577,0.005565,0.006148,0.008117,0.007964,0.010923,0.006627,0.00255,0.010923,0.005213,0.016269,0.08511,0.006033,0.138593,0.003215,0.00443,0.010768,0.004953,0.061099,0.00534,0.010087,0.005047,0.008058,0.007989,0.005966,0.008437,0.004991,0.007243,0.013284,0.007301,0.007288,0.990014,0.006283,0.002696,0.052545,0.003714,0.009909,0.007018,0.016349,0.003087,0.005487,0.011298,0.007647,0.001704,0.01006,0.241367,0.02506
OK,0.001834,0.00343,0.099655,0.010516,0.002652,0.014228,0.001288,0.001783,0.001656,0.002125,0.002618,0.001251,0.013729,0.006241,0.006217,0.00617,0.097135,0.00486,0.006908,0.000883,0.001731,0.000856,0.001621,0.005422,0.038043,0.006388,0.007523,0.001805,0.005768,0.018451,0.000682,0.001511,0.044397,0.007887,0.001005,0.003366,0.983532,0.003031,0.002718,0.000771,0.002012,0.008693,0.005707,0.041205,0.007335,0.002607,0.001715,0.001704,0.003932,0.002402,0.033588
OR,0.011001,0.000365,0.000795,0.007096,0.008415,0.003884,0.000319,0.001107,0.000485,0.00085,0.000543,0.01563,0.001574,0.10035,0.001073,0.000919,0.00152,0.000628,0.000506,0.000227,0.000518,0.000306,0.000259,0.001044,0.001128,0.000479,0.020502,0.000399,0.002817,0.003827,0.000286,0.000364,0.005664,0.014553,0.000229,0.000527,0.001103,0.986738,0.000525,0.000245,0.000478,0.003899,0.000685,0.000903,0.011705,0.000637,0.0005,0.12627,0.000799,0.000466,0.026682
PA,0.001754,0.003024,0.005378,0.003743,0.00137,0.004073,0.021444,0.040644,0.307899,0.007192,0.004915,0.001322,0.005148,0.003835,0.007015,0.011769,0.00367,0.008601,0.002414,0.011374,0.130629,0.01275,0.005265,0.002801,0.004915,0.003338,0.005206,0.008356,0.003712,0.005132,0.010861,0.161628,0.008738,0.004323,0.053256,0.045452,0.003788,0.00223,0.987829,0.012262,0.0087,0.003755,0.006949,0.002431,0.004052,0.027438,0.017224,0.001248,0.004554,0.127311,0.017788
RI,8e-05,0.000132,0.000192,0.000168,8.9e-05,0.000218,0.051931,0.001291,0.001684,0.000748,0.000208,0.000236,0.000213,0.000227,0.000292,0.000418,8.4e-05,0.000254,7e-05,0.110824,0.001024,0.007002,0.000121,0.000136,0.000161,0.000106,0.000214,0.000395,0.000199,0.000261,0.014225,0.002289,0.000224,0.000202,0.002173,0.000384,0.000143,0.000121,0.001208,0.977053,0.000402,0.000231,0.00027,0.000136,0.00026,0.000853,0.007075,0.000105,0.000182,0.000315,0.000419
SC,0.000638,0.009418,0.004347,0.002111,0.000808,0.002846,0.006399,0.011867,0.010905,0.017724,0.065025,0.001062,0.00372,0.001987,0.003843,0.006379,0.002962,0.009317,0.004103,0.00508,0.014229,0.004709,0.003294,0.002012,0.00371,0.007537,0.00271,0.159243,0.00169,0.002632,0.005189,0.007348,0.005328,0.002248,0.004731,0.008167,0.002988,0.001102,0.008982,0.004344,0.981238,0.002195,0.019745,0.002672,0.001944,0.025381,0.005432,0.000877,0.002937,0.017546,0.007534
SD,0.000877,0.000382,0.000941,0.001628,0.00032,0.003264,0.000213,0.000553,0.000257,0.000376,0.000387,0.000307,0.04054,0.004463,0.001343,0.001314,0.003278,0.000808,0.000296,0.000129,0.000395,0.000214,0.000436,0.026419,0.002014,0.000489,0.019718,0.000315,0.06689,0.040327,0.000242,0.000202,0.002552,0.001633,0.000158,0.000618,0.00147,0.001481,0.000482,0.00014,0.000362,0.977097,0.000642,0.000535,0.002329,0.000451,0.000286,0.001568,0.002727,0.000408,0.066182
TN,0.001913,0.086383,0.071851,0.006106,0.002159,0.007292,0.003485,0.005473,0.005766,0.025278,0.064346,0.002385,0.02406,0.005684,0.01991,0.037259,0.015969,0.140094,0.011204,0.002528,0.007524,0.002813,0.010166,0.007309,0.029048,0.169797,0.008914,0.030485,0.005801,0.009502,0.002506,0.003912,0.015687,0.006119,0.002662,0.020224,0.012135,0.002696,0.008031,0.002698,0.028012,0.007654,0.974786,0.007805,0.005159,0.044627,0.003716,0.002225,0.012624,0.024296,0.024014
TX,0.009965,0.012814,0.099824,0.02995,0.009834,0.032937,0.003437,0.007994,0.004653,0.012589,0.009111,0.014001,0.01995,0.012605,0.011578,0.011676,0.043451,0.010061,0.104939,0.003098,0.006132,0.00318,0.005152,0.009653,0.0231,0.03095,0.01929,0.005858,0.013955,0.024106,0.00288,0.003889,0.254923,0.026148,0.002767,0.006972,0.169728,0.007983,0.005979,0.002417,0.006822,0.017185,0.016402,0.994376,0.018308,0.007532,0.003788,0.006649,0.007773,0.005025,0.050225
UT,0.003747,0.001127,0.001917,0.01559,0.005071,0.021015,0.000804,0.001353,0.000971,0.002465,0.001644,0.006611,0.004605,0.087362,0.002221,0.002068,0.004012,0.001515,0.001085,0.000841,0.001274,0.000612,0.000965,0.002366,0.002793,0.001886,0.032019,0.001021,0.005204,0.010054,0.000967,0.000873,0.016525,0.047319,0.000647,0.001469,0.003092,0.010179,0.001293,0.00049,0.001035,0.005256,0.002038,0.002907,0.978746,0.001088,0.001358,0.005762,0.001516,0.000944,0.126086
VA,0.001594,0.004916,0.005733,0.003114,0.001354,0.003523,0.012576,0.51817,0.056093,0.009412,0.008883,0.002078,0.00444,0.00272,0.00493,0.007913,0.003439,0.019586,0.003277,0.008595,0.198637,0.011221,0.003611,0.002148,0.003811,0.004961,0.003566,0.066534,0.002685,0.003817,0.008838,0.016291,0.007359,0.003045,0.010136,0.011598,0.003313,0.001567,0.026724,0.010125,0.021277,0.002542,0.037035,0.002866,0.00284,0.983429,0.011721,0.001383,0.003009,0.167207,0.011615
VT,8e-05,8e-05,9.6e-05,6.7e-05,5.6e-05,0.000224,0.014658,0.000369,0.000971,0.000295,0.000134,7.1e-05,0.000116,0.000192,0.000197,0.000302,0.000103,0.000171,7.4e-05,0.014577,0.000762,0.00743,0.00013,0.000114,0.000131,7.6e-05,0.000357,0.000219,6.6e-05,0.000191,0.076686,0.00288,0.000242,8.6e-05,0.006696,0.000322,9.9e-05,0.000103,0.001313,0.007112,0.000232,0.000318,0.000174,8.3e-05,0.000221,0.000515,0.976558,3e-05,0.000196,0.000361,0.001099
WA,0.071588,0.00054,0.000879,0.007822,0.004643,0.004521,0.000523,0.002091,0.000542,0.001273,0.000873,0.019573,0.001958,0.173207,0.001333,0.001099,0.001809,0.000845,0.000687,0.000546,0.00069,0.000642,0.000584,0.0023,0.001379,0.000605,0.054945,0.000597,0.005768,0.003797,0.000506,0.000493,0.004714,0.010932,0.000375,0.000736,0.001388,0.179447,0.000676,0.000561,0.000727,0.00621,0.001068,0.001289,0.009491,0.000776,0.000572,0.99046,0.001153,0.000548,0.024537
WI,0.001116,0.002133,0.003377,0.005183,0.000847,0.003976,0.001113,0.001414,0.001456,0.0057,0.002122,0.003612,0.042955,0.004149,0.066196,0.012838,0.003657,0.005742,0.001192,0.001086,0.001853,0.001376,0.010717,0.119029,0.005423,0.001911,0.011053,0.001687,0.018662,0.007563,0.001253,0.001492,0.005198,0.004889,0.00121,0.004606,0.002824,0.001972,0.003057,0.000526,0.002345,0.013892,0.004248,0.001326,0.003051,0.001896,0.001572,0.001608,0.987654,0.002658,0.016689
WV,0.000478,0.001463,0.002571,0.000793,0.0003,0.000998,0.001791,0.015987,0.006252,0.002381,0.002333,0.000283,0.002373,0.001168,0.002976,0.00691,0.001803,0.03185,0.001036,0.001178,0.05172,0.001896,0.003098,0.000914,0.002382,0.001608,0.001783,0.008776,0.001724,0.001788,0.001451,0.002629,0.002795,0.001182,0.001962,0.051245,0.001371,0.00068,0.034984,0.000946,0.007119,0.001617,0.004991,0.000674,0.001001,0.046404,0.001858,0.000396,0.001856,0.971541,0.006435
WY,0.001116,0.00063,0.001573,0.002384,0.001281,0.019266,0.000523,0.000922,0.000514,0.000616,0.000755,0.000637,0.004507,0.028749,0.001845,0.001812,0.0034,0.001192,0.000637,0.000276,0.000657,0.000367,0.000546,0.002246,0.002176,0.001089,0.048064,0.000549,0.0119,0.021243,0.00044,0.000592,0.008067,0.00634,0.000347,0.001078,0.002227,0.00583,0.001012,0.00028,0.000659,0.028824,0.001237,0.001014,0.023025,0.00076,0.000715,0.003026,0.001296,0.000781,0.942241
